id,educ,maeduc,paeduc
1,12,14,9
2,16,16,16
7,17,12,12
8,12,14,14
9,19,16,16
12,16,14,12
16,14,16,18
17,18,12,12
22,15,14,16
23,17,16,16
24,16,16,12
25,16,12,16
26,16,12,14
31,16,16,16
36,16,12,14
38,20,12,12
39,16,14,16
41,13,12,9
42,8,12,14
43,13,12,12
46,16,15,16
47,16,20,12
48,16,12,12
49,20,16,18
50,12,12,6
52,14,14,12
53,14,12,15
56,16,16,16
57,16,16,17
59,13,12,10
60,16,18,13
61,14,12,16
64,3,3,0
66,14,6,9
67,16,10,8
68,20,12,14
69,14,12,12
70,17,12,18
74,15,12,12
75,16,17,16
76,6,12,0
77,14,12,12
78,12,0,3
80,16,12,16
81,12,13,14
82,12,12,12
83,12,10,14
85,16,19,14
86,16,12,14
91,12,14,13
92,16,12,12
93,16,12,12
94,15,12,16
95,16,12,16
96,12,12,12
97,13,16,15
98,14,16,12
100,16,12,12
101,14,12,12
103,18,14,14
104,17,16,16
105,18,12,8
107,18,12,16
108,14,11,7
111,16,12,16
113,12,10,16
114,14,14,16
115,20,12,12
116,15,16,16
117,20,13,10
118,20,12,12
119,18,18,18
120,16,12,6
121,20,10,12
124,18,12,16
125,18,16,12
127,13,12,12
128,13,14,16
130,16,12,16
131,16,12,12
136,16,18,16
137,12,10,12
139,17,18,18
140,16,16,15
142,16,18,12
143,19,15,16
144,18,16,18
145,18,10,12
146,16,16,16
147,16,16,16
148,12,12,10
149,16,12,10
151,11,12,12
154,19,12,12
155,16,16,8
158,20,16,16
159,14,14,12
160,16,16,18
164,14,12,12
165,16,14,6
167,17,16,20
168,14,12,18
169,19,10,20
170,20,13,18
171,16,16,15
172,16,18,10
173,18,13,14
174,16,20,16
175,14,0,0
176,16,15,19
177,16,12,16
179,12,8,8
183,18,12,18
184,12,12,19
188,12,12,18
190,10,12,7
192,14,12,12
194,13,12,12
195,16,15,9
196,17,16,18
198,16,16,16
201,16,12,12
203,20,14,16
206,12,12,5
207,14,18,12
209,16,12,12
210,12,9,7
213,14,12,12
215,17,13,8
216,6,0,0
217,12,12,12
220,14,10,12
221,13,6,9
224,16,12,14
226,15,13,12
230,12,14,14
231,17,16,16
233,18,15,17
235,12,12,12
236,20,14,17
239,16,12,10
242,16,18,16
244,16,18,12
246,12,12,8
247,15,12,12
253,17,17,17
254,16,14,14
255,16,12,16
256,16,12,12
257,16,14,13
258,14,12,12
259,19,20,18
260,14,12,12
261,13,11,16
262,20,16,12
263,12,14,14
264,15,12,12
265,16,16,16
267,12,12,12
268,18,12,12
269,16,12,8
270,14,10,9
271,16,0,12
272,18,12,7
273,14,12,12
275,12,12,12
276,12,12,12
279,16,16,16
281,16,16,16
282,20,9,18
284,20,15,20
285,19,16,20
287,12,15,12
288,16,14,14
289,12,12,12
291,12,8,14
292,16,16,16
293,15,12,16
294,16,9,13
296,11,12,12
297,16,18,8
300,15,12,16
301,13,12,13
302,12,13,9
303,18,20,20
304,19,12,12
305,18,17,16
306,18,12,16
307,15,12,17
309,15,12,8
310,16,14,5
312,18,16,18
313,13,12,12
314,13,12,10
315,16,16,16
316,13,0,0
317,15,8,15
320,20,6,12
321,16,12,12
322,16,16,16
323,17,17,20
326,17,9,16
327,16,14,14
329,16,16,16
330,19,10,8
331,16,12,12
333,18,17,20
334,16,14,12
335,15,14,14
336,16,13,12
337,12,12,14
338,13,12,12
339,12,12,12
340,18,12,14
342,16,16,16
343,12,16,12
344,16,16,18
345,20,14,14
346,13,11,12
348,12,12,12
349,19,17,16
350,13,12,12
352,17,12,13
354,19,12,12
356,16,16,18
357,19,20,18
358,15,10,14
359,14,20,20
360,13,12,12
361,13,12,12
362,17,12,12
363,14,10,8
365,16,12,11
366,14,12,12
367,18,14,12
369,16,14,5
370,14,14,12
371,14,18,19
372,17,16,16
375,18,0,0
377,12,12,12
379,18,16,16
380,18,14,12
383,16,16,12
384,14,12,12
386,15,12,16
388,14,12,12
389,16,12,14
390,14,9,9
391,20,14,12
392,14,14,14
396,14,12,14
397,12,14,10
398,14,12,16
402,13,14,14
405,18,9,12
407,13,12,12
408,16,14,16
409,15,14,4
411,17,6,14
412,18,10,14
413,16,12,12
414,18,18,20
415,17,12,12
417,16,14,20
418,18,18,18
420,18,18,18
422,18,12,12
424,19,12,16
425,16,12,19
427,14,14,8
428,18,14,16
430,12,14,12
431,12,12,12
433,18,12,13
434,18,0,6
435,12,12,14
437,12,12,12
438,0,12,0
439,15,12,16
441,12,12,12
443,19,12,14
445,20,12,12
446,17,12,16
447,16,11,9
448,16,12,14
449,17,12,19
450,15,12,12
451,16,14,16
452,12,8,9
453,18,12,12
454,14,12,12
456,19,12,16
457,18,16,19
458,18,18,20
459,20,13,16
460,16,12,20
461,17,16,12
462,20,18,20
463,14,12,8
464,14,14,17
465,16,15,13
468,17,13,12
469,20,10,12
470,11,14,13
473,16,8,12
474,16,12,12
478,12,12,12
480,13,10,12
481,12,13,14
483,12,0,0
484,18,12,12
485,17,20,17
486,15,12,12
488,12,12,12
491,16,16,16
493,14,13,12
495,12,16,16
496,15,14,16
497,16,12,16
498,16,16,16
499,15,12,12
502,14,14,12
503,12,12,14
505,20,12,12
508,15,12,14
510,17,16,16
512,14,16,16
513,14,12,6
514,17,16,12
517,15,12,16
518,18,16,12
520,14,10,12
523,10,12,12
525,12,5,8
526,14,14,12
527,19,16,20
528,18,18,18
529,16,16,15
530,14,18,17
531,17,12,19
532,18,13,14
533,18,12,12
535,17,12,12
536,12,11,12
537,15,10,6
539,12,13,8
540,12,12,12
541,16,14,14
542,14,18,19
544,12,12,7
547,18,12,11
548,14,12,12
549,11,8,5
550,12,11,12
552,14,12,12
553,16,12,12
554,19,15,13
555,16,12,16
556,16,12,12
557,20,20,20
559,18,12,12
560,12,12,12
561,17,16,12
566,12,12,14
568,16,16,14
571,16,12,12
572,12,13,12
573,12,12,12
576,14,8,10
577,13,10,12
583,12,5,5
584,14,14,12
585,12,6,12
586,16,14,12
587,20,14,12
588,17,12,11
590,12,14,14
594,16,6,6
595,18,9,9
599,17,16,16
602,15,16,20
604,11,14,7
606,15,14,14
610,14,13,12
611,16,14,16
612,12,12,8
613,12,12,12
614,14,12,11
615,14,12,13
616,12,12,14
617,13,7,5
618,15,14,14
619,14,16,12
621,12,12,12
622,11,12,12
623,13,12,16
625,16,12,12
626,12,12,12
627,15,12,11
628,12,10,12
629,19,12,12
633,14,12,8
635,12,12,12
636,20,12,12
639,17,18,16
641,16,15,16
642,16,16,18
643,13,16,12
644,12,12,12
645,12,12,12
646,16,18,19
647,16,11,11
649,14,13,14
650,12,12,12
651,17,13,13
652,12,5,8
654,16,12,16
656,14,12,12
657,17,12,12
658,13,12,7
659,12,12,12
660,16,12,12
661,16,14,12
662,12,11,12
663,14,12,12
664,12,12,12
665,20,16,12
666,16,13,8
667,12,12,12
668,16,13,16
669,14,12,12
670,12,10,13
671,12,12,10
672,11,12,16
675,13,12,12
676,12,12,12
678,12,12,12
680,14,12,14
681,12,12,12
684,18,12,15
685,12,14,12
686,12,12,8
687,12,14,10
690,12,12,2
691,13,12,9
692,14,12,11
693,16,6,12
696,14,14,12
699,12,0,0
701,15,3,11
702,18,16,16
704,18,12,12
705,20,12,12
707,18,13,14
708,19,16,18
709,17,19,18
710,13,12,12
711,14,10,14
713,20,14,16
714,20,9,8
715,13,12,12
717,18,12,12
718,16,17,17
719,18,12,12
720,16,12,13
721,16,16,13
723,16,16,16
724,16,14,16
725,12,12,10
726,14,16,20
728,16,16,16
730,20,12,12
733,16,13,19
734,18,16,16
735,16,14,14
738,15,14,14
739,18,12,19
740,19,17,18
741,13,14,13
742,10,10,10
745,12,12,10
746,12,12,12
747,12,12,10
748,17,14,7
749,16,12,12
750,14,14,16
752,14,10,8
753,14,12,12
754,18,12,20
755,20,12,8
756,12,12,9
759,15,16,16
760,12,12,6
765,18,13,12
766,13,17,12
767,18,15,16
768,12,12,12
772,16,12,12
773,15,12,20
776,12,20,16
777,12,14,14
778,12,14,14
779,16,14,3
780,15,16,15
782,12,10,10
783,14,12,12
784,12,9,6
785,17,12,12
786,19,12,12
788,20,16,18
792,18,15,16
793,14,12,12
796,16,12,12
797,18,12,18
798,20,12,12
799,14,12,12
801,16,17,12
802,14,12,12
804,18,14,20
805,16,13,14
807,15,10,12
808,12,12,10
809,13,12,12
813,16,8,12
816,16,12,16
817,17,16,12
818,16,16,20
819,12,4,0
820,12,12,12
825,14,12,12
827,15,11,16
829,12,12,12
831,17,14,16
832,15,12,8
834,16,10,12
838,12,6,10
839,18,12,12
842,16,6,0
843,15,10,8
845,16,16,12
846,17,16,16
850,14,16,15
852,14,6,6
853,14,5,3
857,16,11,6
859,12,12,12
864,14,12,12
865,12,7,7
866,13,8,8
867,15,12,13
871,14,10,8
872,12,11,11
873,19,16,16
874,12,12,11
878,16,12,16
880,15,12,12
881,20,12,11
882,18,14,17
883,20,18,20
884,16,16,13
885,16,16,16
886,13,16,16
887,16,15,16
888,12,9,8
890,17,12,17
892,16,16,20
894,20,12,12
895,12,12,14
896,16,12,14
897,18,12,12
898,19,12,15
899,18,8,18
901,16,19,18
902,14,12,12
903,16,12,14
904,18,14,16
906,16,15,15
910,16,13,8
915,18,12,12
916,18,18,12
917,19,14,12
918,13,12,12
919,16,16,20
923,12,12,12
924,12,12,12
925,16,8,8
926,15,8,6
927,18,12,12
928,15,12,12
929,16,14,10
931,16,12,12
933,12,12,12
935,14,12,16
938,12,12,5
941,16,14,12
942,16,15,12
943,20,12,12
944,18,14,12
945,12,16,12
946,18,12,20
947,17,13,12
948,16,8,10
949,15,16,12
950,16,12,12
952,16,18,14
953,18,12,12
954,20,12,12
956,16,12,12
957,16,12,6
960,12,12,12
961,12,12,12
964,18,11,10
965,12,8,9
969,16,16,16
972,18,12,12
973,15,12,12
975,17,12,14
977,12,12,16
980,14,0,0
981,18,14,16
983,17,12,16
985,18,12,8
986,20,8,20
988,16,10,15
989,17,8,5
990,15,10,9
991,16,14,12
992,14,16,15
993,17,17,12
995,14,12,20
996,14,12,20
997,18,6,15
998,15,15,15
999,16,12,12
1000,16,12,16
1001,16,13,12
1002,14,11,10
1003,16,12,16
1004,14,6,12
1005,19,10,16
1008,13,12,8
1009,8,6,3
1013,19,16,16
1014,16,12,19
1015,17,16,15
1018,16,16,16
1019,16,12,14
1021,17,14,13
1022,16,8,8
1023,16,16,16
1024,16,12,16
1025,19,16,16
1026,17,12,12
1030,12,6,5
1034,12,16,16
1036,14,14,16
1039,16,20,16
1043,12,12,13
1044,18,16,16
1045,18,12,19
1046,14,12,14
1048,13,12,8
1049,17,12,16
1050,14,14,14
1051,16,12,12
1052,12,12,12
1055,16,16,16
1056,16,14,12
1057,14,15,16
1059,12,14,12
1060,12,9,12
1061,16,14,16
1062,18,16,18
1063,14,10,9
1065,19,12,12
1066,13,12,14
1068,16,16,16
1069,12,12,12
1071,16,12,12
1072,12,12,16
1074,18,18,18
1075,13,20,10
1079,17,16,6
1080,12,12,12
1081,13,12,12
1084,19,18,20
1085,12,13,12
1086,10,8,12
1087,12,10,11
1088,12,12,8
1089,12,8,6
1091,14,12,12
1092,13,12,11
1093,14,12,15
1094,16,12,12
1095,15,12,14
1096,14,14,12
1097,16,12,12
1100,12,12,12
1102,18,18,18
1103,18,16,14
1106,12,10,11
1108,12,12,18
1109,10,12,8
1110,20,20,14
1111,14,11,11
1112,15,14,15
1115,20,12,12
1117,12,12,11
1118,19,12,12
1119,18,12,14
1120,17,16,16
1121,16,12,12
1122,11,20,16
1123,16,12,12
1124,15,12,16
1127,16,12,16
1129,20,18,17
1130,16,16,16
1131,16,12,12
1132,16,12,12
1133,16,12,12
1134,16,16,12
1136,16,16,16
1137,16,12,12
1138,16,12,16
1139,18,16,16
1140,16,8,8
1141,18,14,16
1142,16,12,8
1143,20,16,16
1144,18,14,12
1145,14,12,16
1146,17,12,12
1147,16,16,16
1149,14,9,8
1150,8,8,7
1152,14,12,12
1154,19,12,14
1155,17,16,20
1156,20,18,18
1157,14,0,12
1159,16,12,6
1161,12,12,12
1162,16,0,0
1164,16,12,12
1165,18,13,16
1166,16,13,19
1169,13,12,8
1171,20,12,13
1172,14,12,16
1173,14,8,8
1176,18,12,16
1181,14,12,12
1183,12,12,4
1185,15,12,12
1186,16,18,13
1187,14,12,12
1190,17,5,5
1191,13,14,12
1192,13,12,16
1193,16,16,20
1194,18,18,14
1195,16,20,20
1196,18,12,12
1197,16,16,12
1198,16,16,16
1199,20,16,20
1200,16,12,15
1201,18,12,12
1203,15,12,12
1204,18,12,12
1205,14,12,12
1206,18,12,12
1207,16,14,13
1208,19,16,12
1209,20,20,19
1210,14,14,11
1211,16,10,11
1213,20,13,5
1215,16,16,18
1216,16,14,17
1217,16,12,12
1218,11,12,12
1219,14,14,10
1220,16,16,18
1222,12,12,12
1223,17,16,16
1224,20,14,16
1225,12,12,7
1228,12,4,12
1229,14,12,8
1230,20,13,9
1231,12,7,5
1232,12,12,8
1235,13,14,7
1237,14,12,7
1239,12,11,10
1244,15,6,12
1245,12,13,12
1246,13,12,3
1247,12,12,5
1248,10,12,16
1249,19,15,16
1250,18,14,16
1251,12,14,12
1253,16,12,12
1254,13,5,5
1255,16,12,16
1257,15,5,5
1259,17,18,20
1261,15,16,12
1263,16,16,16
1265,20,12,12
1266,18,12,16
1267,17,12,0
1268,19,16,12
1269,20,10,13
1270,17,15,14
1271,14,12,15
1272,20,14,17
1273,16,12,16
1275,13,12,12
1276,16,16,12
1277,13,12,10
1278,16,12,13
1279,16,12,16
1285,19,16,18
1287,20,18,16
1289,16,16,16
1290,16,11,10
1291,16,14,16
1292,16,8,8
1294,13,12,12
1295,18,12,12
1297,18,14,14
