id,educ,education
1,12,High School
2,16,4 Years of College
7,17,> 4 years of college
8,12,High School
9,19,> 4 years of college
12,16,4 Years of College
16,14,Some College
17,18,> 4 years of college
22,15,Some College
23,17,> 4 years of college
24,16,4 Years of College
25,16,4 Years of College
26,16,4 Years of College
31,16,4 Years of College
36,16,4 Years of College
38,20,> 4 years of college
39,16,4 Years of College
41,13,Some College
42,8,< High School
43,13,Some College
46,16,4 Years of College
47,16,4 Years of College
48,16,4 Years of College
49,20,> 4 years of college
50,12,High School
52,14,Some College
53,14,Some College
56,16,4 Years of College
57,16,4 Years of College
59,13,Some College
60,16,4 Years of College
61,14,Some College
64,3,< High School
66,14,Some College
67,16,4 Years of College
68,20,> 4 years of college
69,14,Some College
70,17,> 4 years of college
74,15,Some College
75,16,4 Years of College
76,6,< High School
77,14,Some College
78,12,High School
80,16,4 Years of College
81,12,High School
82,12,High School
83,12,High School
85,16,4 Years of College
86,16,4 Years of College
91,12,High School
92,16,4 Years of College
93,16,4 Years of College
94,15,Some College
95,16,4 Years of College
96,12,High School
97,13,Some College
98,14,Some College
100,16,4 Years of College
101,14,Some College
103,18,> 4 years of college
104,17,> 4 years of college
105,18,> 4 years of college
107,18,> 4 years of college
108,14,Some College
111,16,4 Years of College
113,12,High School
114,14,Some College
115,20,> 4 years of college
116,15,Some College
117,20,> 4 years of college
118,20,> 4 years of college
119,18,> 4 years of college
120,16,4 Years of College
121,20,> 4 years of college
124,18,> 4 years of college
125,18,> 4 years of college
127,13,Some College
128,13,Some College
130,16,4 Years of College
131,16,4 Years of College
136,16,4 Years of College
137,12,High School
139,17,> 4 years of college
140,16,4 Years of College
142,16,4 Years of College
143,19,> 4 years of college
144,18,> 4 years of college
145,18,> 4 years of college
146,16,4 Years of College
147,16,4 Years of College
148,12,High School
149,16,4 Years of College
151,11,< High School
154,19,> 4 years of college
155,16,4 Years of College
158,20,> 4 years of college
159,14,Some College
160,16,4 Years of College
164,14,Some College
165,16,4 Years of College
167,17,> 4 years of college
168,14,Some College
169,19,> 4 years of college
170,20,> 4 years of college
171,16,4 Years of College
172,16,4 Years of College
173,18,> 4 years of college
174,16,4 Years of College
175,14,Some College
176,16,4 Years of College
177,16,4 Years of College
179,12,High School
183,18,> 4 years of college
184,12,High School
188,12,High School
190,10,< High School
192,14,Some College
194,13,Some College
195,16,4 Years of College
196,17,> 4 years of college
198,16,4 Years of College
201,16,4 Years of College
203,20,> 4 years of college
206,12,High School
207,14,Some College
209,16,4 Years of College
210,12,High School
213,14,Some College
215,17,> 4 years of college
216,6,< High School
217,12,High School
220,14,Some College
221,13,Some College
224,16,4 Years of College
226,15,Some College
230,12,High School
231,17,> 4 years of college
233,18,> 4 years of college
235,12,High School
236,20,> 4 years of college
239,16,4 Years of College
242,16,4 Years of College
244,16,4 Years of College
246,12,High School
247,15,Some College
253,17,> 4 years of college
254,16,4 Years of College
255,16,4 Years of College
256,16,4 Years of College
257,16,4 Years of College
258,14,Some College
259,19,> 4 years of college
260,14,Some College
261,13,Some College
262,20,> 4 years of college
263,12,High School
264,15,Some College
265,16,4 Years of College
267,12,High School
268,18,> 4 years of college
269,16,4 Years of College
270,14,Some College
271,16,4 Years of College
272,18,> 4 years of college
273,14,Some College
275,12,High School
276,12,High School
279,16,4 Years of College
281,16,4 Years of College
282,20,> 4 years of college
284,20,> 4 years of college
285,19,> 4 years of college
287,12,High School
288,16,4 Years of College
289,12,High School
291,12,High School
292,16,4 Years of College
293,15,Some College
294,16,4 Years of College
296,11,< High School
297,16,4 Years of College
300,15,Some College
301,13,Some College
302,12,High School
303,18,> 4 years of college
304,19,> 4 years of college
305,18,> 4 years of college
306,18,> 4 years of college
307,15,Some College
309,15,Some College
310,16,4 Years of College
312,18,> 4 years of college
313,13,Some College
314,13,Some College
315,16,4 Years of College
316,13,Some College
317,15,Some College
320,20,> 4 years of college
321,16,4 Years of College
322,16,4 Years of College
323,17,> 4 years of college
326,17,> 4 years of college
327,16,4 Years of College
329,16,4 Years of College
330,19,> 4 years of college
331,16,4 Years of College
333,18,> 4 years of college
334,16,4 Years of College
335,15,Some College
336,16,4 Years of College
337,12,High School
338,13,Some College
339,12,High School
340,18,> 4 years of college
342,16,4 Years of College
343,12,High School
344,16,4 Years of College
345,20,> 4 years of college
346,13,Some College
348,12,High School
349,19,> 4 years of college
350,13,Some College
352,17,> 4 years of college
354,19,> 4 years of college
356,16,4 Years of College
357,19,> 4 years of college
358,15,Some College
359,14,Some College
360,13,Some College
361,13,Some College
362,17,> 4 years of college
363,14,Some College
365,16,4 Years of College
366,14,Some College
367,18,> 4 years of college
369,16,4 Years of College
370,14,Some College
371,14,Some College
372,17,> 4 years of college
375,18,> 4 years of college
377,12,High School
379,18,> 4 years of college
380,18,> 4 years of college
383,16,4 Years of College
384,14,Some College
386,15,Some College
388,14,Some College
389,16,4 Years of College
390,14,Some College
391,20,> 4 years of college
392,14,Some College
396,14,Some College
397,12,High School
398,14,Some College
402,13,Some College
405,18,> 4 years of college
407,13,Some College
408,16,4 Years of College
409,15,Some College
411,17,> 4 years of college
412,18,> 4 years of college
413,16,4 Years of College
414,18,> 4 years of college
415,17,> 4 years of college
417,16,4 Years of College
418,18,> 4 years of college
420,18,> 4 years of college
422,18,> 4 years of college
424,19,> 4 years of college
425,16,4 Years of College
427,14,Some College
428,18,> 4 years of college
430,12,High School
431,12,High School
433,18,> 4 years of college
434,18,> 4 years of college
435,12,High School
437,12,High School
438,0,< High School
439,15,Some College
441,12,High School
443,19,> 4 years of college
445,20,> 4 years of college
446,17,> 4 years of college
447,16,4 Years of College
448,16,4 Years of College
449,17,> 4 years of college
450,15,Some College
451,16,4 Years of College
452,12,High School
453,18,> 4 years of college
454,14,Some College
456,19,> 4 years of college
457,18,> 4 years of college
458,18,> 4 years of college
459,20,> 4 years of college
460,16,4 Years of College
461,17,> 4 years of college
462,20,> 4 years of college
463,14,Some College
464,14,Some College
465,16,4 Years of College
468,17,> 4 years of college
469,20,> 4 years of college
470,11,< High School
473,16,4 Years of College
474,16,4 Years of College
478,12,High School
480,13,Some College
481,12,High School
483,12,High School
484,18,> 4 years of college
485,17,> 4 years of college
486,15,Some College
488,12,High School
491,16,4 Years of College
493,14,Some College
495,12,High School
496,15,Some College
497,16,4 Years of College
498,16,4 Years of College
499,15,Some College
502,14,Some College
503,12,High School
505,20,> 4 years of college
508,15,Some College
510,17,> 4 years of college
512,14,Some College
513,14,Some College
514,17,> 4 years of college
517,15,Some College
518,18,> 4 years of college
520,14,Some College
523,10,< High School
525,12,High School
526,14,Some College
527,19,> 4 years of college
528,18,> 4 years of college
529,16,4 Years of College
530,14,Some College
531,17,> 4 years of college
532,18,> 4 years of college
533,18,> 4 years of college
535,17,> 4 years of college
536,12,High School
537,15,Some College
539,12,High School
540,12,High School
541,16,4 Years of College
542,14,Some College
544,12,High School
547,18,> 4 years of college
548,14,Some College
549,11,< High School
550,12,High School
552,14,Some College
553,16,4 Years of College
554,19,> 4 years of college
555,16,4 Years of College
556,16,4 Years of College
557,20,> 4 years of college
559,18,> 4 years of college
560,12,High School
561,17,> 4 years of college
566,12,High School
568,16,4 Years of College
571,16,4 Years of College
572,12,High School
573,12,High School
576,14,Some College
577,13,Some College
583,12,High School
584,14,Some College
585,12,High School
586,16,4 Years of College
587,20,> 4 years of college
588,17,> 4 years of college
590,12,High School
594,16,4 Years of College
595,18,> 4 years of college
599,17,> 4 years of college
602,15,Some College
604,11,< High School
606,15,Some College
610,14,Some College
611,16,4 Years of College
612,12,High School
613,12,High School
614,14,Some College
615,14,Some College
616,12,High School
617,13,Some College
618,15,Some College
619,14,Some College
621,12,High School
622,11,< High School
623,13,Some College
625,16,4 Years of College
626,12,High School
627,15,Some College
628,12,High School
629,19,> 4 years of college
633,14,Some College
635,12,High School
636,20,> 4 years of college
639,17,> 4 years of college
641,16,4 Years of College
642,16,4 Years of College
643,13,Some College
644,12,High School
645,12,High School
646,16,4 Years of College
647,16,4 Years of College
649,14,Some College
650,12,High School
651,17,> 4 years of college
652,12,High School
654,16,4 Years of College
