id,maeduc,education
1,14,Some College
2,16,4 Yrs College
7,12,High School
8,14,Some College
9,16,4 Yrs College
12,14,Some College
16,16,4 Yrs College
17,12,High School
22,14,Some College
23,16,4 Yrs College
24,16,4 Yrs College
25,12,High School
26,12,High School
31,16,4 Yrs College
36,12,High School
38,12,High School
39,14,Some College
41,12,High School
42,12,High School
43,12,High School
46,15,Some College
47,20,>4 Yrs College
48,12,High School
49,16,4 Yrs College
50,12,High School
52,14,Some College
53,12,High School
56,16,4 Yrs College
57,16,4 Yrs College
59,12,High School
60,18,>4 Yrs College
61,12,High School
64,3,<High School
66,6,<High School
67,10,<High School
68,12,High School
69,12,High School
70,12,High School
74,12,High School
75,17,>4 Yrs College
76,12,High School
77,12,High School
78,0,<High School
80,12,High School
81,13,Some College
82,12,High School
83,10,<High School
85,19,>4 Yrs College
86,12,High School
91,14,Some College
92,12,High School
93,12,High School
94,12,High School
95,12,High School
96,12,High School
97,16,4 Yrs College
98,16,4 Yrs College
100,12,High School
101,12,High School
103,14,Some College
104,16,4 Yrs College
105,12,High School
107,12,High School
108,11,<High School
111,12,High School
113,10,<High School
114,14,Some College
115,12,High School
116,16,4 Yrs College
117,13,Some College
118,12,High School
119,18,>4 Yrs College
120,12,High School
121,10,<High School
124,12,High School
125,16,4 Yrs College
127,12,High School
128,14,Some College
130,12,High School
131,12,High School
136,18,>4 Yrs College
137,10,<High School
139,18,>4 Yrs College
140,16,4 Yrs College
142,18,>4 Yrs College
143,15,Some College
144,16,4 Yrs College
145,10,<High School
146,16,4 Yrs College
147,16,4 Yrs College
148,12,High School
149,12,High School
151,12,High School
154,12,High School
155,16,4 Yrs College
158,16,4 Yrs College
159,14,Some College
160,16,4 Yrs College
164,12,High School
165,14,Some College
167,16,4 Yrs College
168,12,High School
169,10,<High School
170,13,Some College
171,16,4 Yrs College
172,18,>4 Yrs College
173,13,Some College
174,20,>4 Yrs College
175,0,<High School
176,15,Some College
177,12,High School
179,8,<High School
183,12,High School
184,12,High School
188,12,High School
190,12,High School
192,12,High School
194,12,High School
195,15,Some College
196,16,4 Yrs College
198,16,4 Yrs College
201,12,High School
203,14,Some College
206,12,High School
207,18,>4 Yrs College
209,12,High School
210,9,<High School
213,12,High School
215,13,Some College
216,0,<High School
217,12,High School
220,10,<High School
221,6,<High School
224,12,High School
226,13,Some College
230,14,Some College
231,16,4 Yrs College
233,15,Some College
235,12,High School
236,14,Some College
239,12,High School
242,18,>4 Yrs College
244,18,>4 Yrs College
246,12,High School
247,12,High School
253,17,>4 Yrs College
254,14,Some College
255,12,High School
256,12,High School
257,14,Some College
258,12,High School
259,20,>4 Yrs College
260,12,High School
261,11,<High School
262,16,4 Yrs College
263,14,Some College
264,12,High School
265,16,4 Yrs College
267,12,High School
268,12,High School
269,12,High School
270,10,<High School
271,0,<High School
272,12,High School
273,12,High School
275,12,High School
276,12,High School
279,16,4 Yrs College
281,16,4 Yrs College
282,9,<High School
284,15,Some College
285,16,4 Yrs College
287,15,Some College
288,14,Some College
289,12,High School
291,8,<High School
292,16,4 Yrs College
293,12,High School
294,9,<High School
296,12,High School
297,18,>4 Yrs College
300,12,High School
301,12,High School
302,13,Some College
303,20,>4 Yrs College
304,12,High School
305,17,>4 Yrs College
306,12,High School
307,12,High School
309,12,High School
310,14,Some College
312,16,4 Yrs College
313,12,High School
314,12,High School
315,16,4 Yrs College
316,0,<High School
317,8,<High School
320,6,<High School
321,12,High School
322,16,4 Yrs College
323,17,>4 Yrs College
326,9,<High School
327,14,Some College
329,16,4 Yrs College
330,10,<High School
331,12,High School
333,17,>4 Yrs College
334,14,Some College
335,14,Some College
336,13,Some College
337,12,High School
338,12,High School
339,12,High School
340,12,High School
342,16,4 Yrs College
343,16,4 Yrs College
344,16,4 Yrs College
345,14,Some College
346,11,<High School
348,12,High School
349,17,>4 Yrs College
350,12,High School
352,12,High School
354,12,High School
356,16,4 Yrs College
357,20,>4 Yrs College
358,10,<High School
359,20,>4 Yrs College
360,12,High School
361,12,High School
362,12,High School
363,10,<High School
365,12,High School
366,12,High School
367,14,Some College
369,14,Some College
370,14,Some College
371,18,>4 Yrs College
372,16,4 Yrs College
375,0,<High School
377,12,High School
379,16,4 Yrs College
380,14,Some College
383,16,4 Yrs College
384,12,High School
386,12,High School
388,12,High School
389,12,High School
390,9,<High School
391,14,Some College
392,14,Some College
396,12,High School
397,14,Some College
398,12,High School
402,14,Some College
405,9,<High School
407,12,High School
408,14,Some College
409,14,Some College
411,6,<High School
412,10,<High School
413,12,High School
414,18,>4 Yrs College
415,12,High School
417,14,Some College
418,18,>4 Yrs College
420,18,>4 Yrs College
422,12,High School
424,12,High School
425,12,High School
427,14,Some College
428,14,Some College
430,14,Some College
431,12,High School
433,12,High School
434,0,<High School
435,12,High School
437,12,High School
438,12,High School
439,12,High School
441,12,High School
443,12,High School
445,12,High School
446,12,High School
447,11,<High School
448,12,High School
449,12,High School
450,12,High School
451,14,Some College
452,8,<High School
453,12,High School
454,12,High School
456,12,High School
457,16,4 Yrs College
458,18,>4 Yrs College
459,13,Some College
460,12,High School
461,16,4 Yrs College
462,18,>4 Yrs College
463,12,High School
464,14,Some College
465,15,Some College
468,13,Some College
469,10,<High School
470,14,Some College
473,8,<High School
474,12,High School
478,12,High School
480,10,<High School
481,13,Some College
483,0,<High School
484,12,High School
485,20,>4 Yrs College
486,12,High School
488,12,High School
491,16,4 Yrs College
493,13,Some College
495,16,4 Yrs College
496,14,Some College
497,12,High School
498,16,4 Yrs College
499,12,High School
502,14,Some College
503,12,High School
505,12,High School
508,12,High School
510,16,4 Yrs College
512,16,4 Yrs College
513,12,High School
514,16,4 Yrs College
517,12,High School
518,16,4 Yrs College
520,10,<High School
523,12,High School
525,5,<High School
526,14,Some College
527,16,4 Yrs College
528,18,>4 Yrs College
529,16,4 Yrs College
530,18,>4 Yrs College
531,12,High School
532,13,Some College
533,12,High School
535,12,High School
536,11,<High School
537,10,<High School
539,13,Some College
540,12,High School
541,14,Some College
542,18,>4 Yrs College
544,12,High School
547,12,High School
548,12,High School
549,8,<High School
550,11,<High School
552,12,High School
553,12,High School
554,15,Some College
555,12,High School
556,12,High School
557,20,>4 Yrs College
559,12,High School
560,12,High School
561,16,4 Yrs College
566,12,High School
568,16,4 Yrs College
571,12,High School
572,13,Some College
573,12,High School
576,8,<High School
577,10,<High School
583,5,<High School
584,14,Some College
585,6,<High School
586,14,Some College
587,14,Some College
588,12,High School
590,14,Some College
594,6,<High School
595,9,<High School
599,16,4 Yrs College
602,16,4 Yrs College
604,14,Some College
606,14,Some College
610,13,Some College
611,14,Some College
612,12,High School
613,12,High School
614,12,High School
615,12,High School
616,12,High School
617,7,<High School
618,14,Some College
619,16,4 Yrs College
621,12,High School
622,12,High School
623,12,High School
625,12,High School
626,12,High School
627,12,High School
628,10,<High School
629,12,High School
633,12,High School
635,12,High School
636,12,High School
639,18,>4 Yrs College
641,15,Some College
642,16,4 Yrs College
643,16,4 Yrs College
644,12,High School
645,12,High School
646,18,>4 Yrs College
647,11,<High School
649,13,Some College
650,12,High School
651,13,Some College
652,5,<High School
654,12,High School
656,12,High School
657,12,High School
658,12,High School
659,12,High School
660,12,High School
661,14,Some College
662,11,<High School
663,12,High School
664,12,High School
665,16,4 Yrs College
666,13,Some College
667,12,High School
668,13,Some College
669,12,High School
670,10,<High School
671,12,High School
672,12,High School
675,12,High School
676,12,High School
678,12,High School
680,12,High School
681,12,High School
684,12,High School
685,14,Some College
686,12,High School
687,14,Some College
690,12,High School
691,12,High School
692,12,High School
693,6,<High School
696,14,Some College
699,0,<High School
701,3,<High School
702,16,4 Yrs College
704,12,High School
705,12,High School
707,13,Some College
708,16,4 Yrs College
709,19,>4 Yrs College
710,12,High School
711,10,<High School
713,14,Some College
714,9,<High School
715,12,High School
717,12,High School
718,17,>4 Yrs College
719,12,High School
720,12,High School
721,16,4 Yrs College
723,16,4 Yrs College
724,14,Some College
725,12,High School
726,16,4 Yrs College
728,16,4 Yrs College
730,12,High School
733,13,Some College
734,16,4 Yrs College
735,14,Some College
738,14,Some College
739,12,High School
740,17,>4 Yrs College
741,14,Some College
742,10,<High School
745,12,High School
746,12,High School
747,12,High School
748,14,Some College
749,12,High School
750,14,Some College
752,10,<High School
753,12,High School
754,12,High School
755,12,High School
756,12,High School
759,16,4 Yrs College
760,12,High School
765,13,Some College
766,17,>4 Yrs College
767,15,Some College
768,12,High School
772,12,High School
773,12,High School
776,20,>4 Yrs College
777,14,Some College
778,14,Some College
779,14,Some College
780,16,4 Yrs College
782,10,<High School
783,12,High School
784,9,<High School
785,12,High School
786,12,High School
788,16,4 Yrs College
792,15,Some College
793,12,High School
796,12,High School
797,12,High School
798,12,High School
799,12,High School
801,17,>4 Yrs College
802,12,High School
804,14,Some College
805,13,Some College
807,10,<High School
808,12,High School
809,12,High School
813,8,<High School
816,12,High School
817,16,4 Yrs College
818,16,4 Yrs College
819,4,<High School
820,12,High School
825,12,High School
827,11,<High School
829,12,High School
831,14,Some College
832,12,High School
834,10,<High School
838,6,<High School
839,12,High School
842,6,<High School
843,10,<High School
845,16,4 Yrs College
846,16,4 Yrs College
850,16,4 Yrs College
852,6,<High School
853,5,<High School
857,11,<High School
859,12,High School
864,12,High School
865,7,<High School
866,8,<High School
867,12,High School
871,10,<High School
872,11,<High School
873,16,4 Yrs College
874,12,High School
878,12,High School
880,12,High School
881,12,High School
882,14,Some College
883,18,>4 Yrs College
884,16,4 Yrs College
885,16,4 Yrs College
886,16,4 Yrs College
887,15,Some College
888,9,<High School
890,12,High School
892,16,4 Yrs College
894,12,High School
895,12,High School
896,12,High School
897,12,High School
898,12,High School
899,8,<High School
901,19,>4 Yrs College
902,12,High School
903,12,High School
904,14,Some College
906,15,Some College
910,13,Some College
915,12,High School
916,18,>4 Yrs College
917,14,Some College
918,12,High School
919,16,4 Yrs College
923,12,High School
924,12,High School
925,8,<High School
926,8,<High School
927,12,High School
928,12,High School
929,14,Some College
931,12,High School
933,12,High School
935,12,High School
938,12,High School
941,14,Some College
942,15,Some College
943,12,High School
944,14,Some College
945,16,4 Yrs College
946,12,High School
947,13,Some College
948,8,<High School
949,16,4 Yrs College
950,12,High School
952,18,>4 Yrs College
953,12,High School
954,12,High School
956,12,High School
957,12,High School
960,12,High School
961,12,High School
964,11,<High School
965,8,<High School
969,16,4 Yrs College
972,12,High School
973,12,High School
975,12,High School
977,12,High School
980,0,<High School
981,14,Some College
983,12,High School
985,12,High School
986,8,<High School
988,10,<High School
989,8,<High School
990,10,<High School
991,14,Some College
992,16,4 Yrs College
993,17,>4 Yrs College
995,12,High School
996,12,High School
997,6,<High School
998,15,Some College
999,12,High School
1000,12,High School
1001,13,Some College
1002,11,<High School
1003,12,High School
1004,6,<High School
1005,10,<High School
1008,12,High School
1009,6,<High School
1013,16,4 Yrs College
1014,12,High School
1015,16,4 Yrs College
1018,16,4 Yrs College
1019,12,High School
1021,14,Some College
1022,8,<High School
1023,16,4 Yrs College
1024,12,High School
1025,16,4 Yrs College
1026,12,High School
1030,6,<High School
1034,16,4 Yrs College
1036,14,Some College
1039,20,>4 Yrs College
1043,12,High School
1044,16,4 Yrs College
1045,12,High School
1046,12,High School
1048,12,High School
1049,12,High School
1050,14,Some College
1051,12,High School
1052,12,High School
1055,16,4 Yrs College
1056,14,Some College
1057,15,Some College
1059,14,Some College
1060,9,<High School
1061,14,Some College
1062,16,4 Yrs College
1063,10,<High School
1065,12,High School
1066,12,High School
1068,16,4 Yrs College
1069,12,High School
1071,12,High School
1072,12,High School
1074,18,>4 Yrs College
1075,20,>4 Yrs College
1079,16,4 Yrs College
1080,12,High School
1081,12,High School
1084,18,>4 Yrs College
1085,13,Some College
1086,8,<High School
1087,10,<High School
1088,12,High School
1089,8,<High School
1091,12,High School
1092,12,High School
1093,12,High School
1094,12,High School
1095,12,High School
1096,14,Some College
1097,12,High School
1100,12,High School
1102,18,>4 Yrs College
1103,16,4 Yrs College
1106,10,<High School
1108,12,High School
1109,12,High School
1110,20,>4 Yrs College
1111,11,<High School
1112,14,Some College
1115,12,High School
1117,12,High School
1118,12,High School
1119,12,High School
1120,16,4 Yrs College
1121,12,High School
1122,20,>4 Yrs College
1123,12,High School
1124,12,High School
1127,12,High School
1129,18,>4 Yrs College
1130,16,4 Yrs College
1131,12,High School
1132,12,High School
1133,12,High School
